Designator,Mid X,Mid Y,Rotation,Layer
D1,176.0,-101.23,270.0,top
H1,86.25,-31.75,0.0,top
H2,179.05,-31.75,0.0,top
H3,179.05,-124.55,0.0,top
H4,86.25,-124.55,0.0,top
J1,95.495,-119.0,90.0,top
J2,108.23,-119.0,90.0,top
J3,121.73,-119.0,90.0,top
J4,143.73,-119.0,90.0,top
J5,156.77,-119.0,90.0,top
J6,169.73,-119.0,90.0,top
J7,176.0,-69.46,0.0,top
J8,89.5,-87.08,180.0,top
J9,89.5,-66.73,0.0,top
R1,176.0,-91.81,90.0,top
U3,132.65,-71.075,0.0,top
