Designator,Mid X,Mid Y,Rotation,Layer
D1,127.5,-104.77,270.0,top
H1,95.0,-77.5,0.0,top
H2,133.5,-77.5,0.0,top
H3,95.0,-120.0,0.0,top
H4,133.5,-120.0,0.0,top
J1,95.0,-92.69,0.0,top
J2,133.5,-91.96,0.0,top
R1,127.5,-113.31,270.0,top
U1,114.185,-100.49,0.0,top
